Cheddar cheese,1/4 cup or 1 oz,,113.00,0.03,9.30,5.30,0.30,28.00,183.00,0.90,0.00,0.10,6.40,5.00,0.00,20.00,1.00,1.64,10.48,89.50,12.29,0.24
American cheese,1/4 cup or 1 oz,,110.00,0.03,9.00,6.00,0.30,25.00,180.00,0.00,0.00,0.00,6.00,6.00,0.00,8.00,0.00,1.64,10.48,89.50,12.29,0.32
Provolone cheese,1/4 cup or 1 oz,,100.00,0.03,7.30,4.80,0.00,20.00,248.00,0.60,0.00,0.20,7.30,4.00,0.00,21.00,0.00,1.64,10.48,89.50,12.29,0.25
Romano cheese,1/4 cup or 1 oz,,110.00,0.03,7.60,4.90,0.00,29.00,406.00,1.00,0.00,0.20,9.00,2.00,0.00,30.00,1.00,1.64,10.48,89.50,12.29,0.25
Parmesan cheese,1/4 cup or 1 oz,,111.00,0.03,7.30,4.70,0.00,19.00,390.00,0.90,0.00,0.20,10.10,4.00,0.00,31.00,1.00,1.64,10.48,89.50,12.29,0.25
Mozzarella cheese,1/4 cup or 1 oz,,85.00,0.03,6.30,3.70,0.00,22.00,178.00,0.60,0.00,0.30,6.30,3.00,0.00,14.00,0.00,1.64,10.48,89.50,12.29,0.20
Ricotta cheese,1/4 cup or 1 oz,,108.00,0.06,8.10,5.10,0.00,32.00,52.00,1.90,0.00,0.20,7.00,5.00,0.00,12.00,1.00,3.64,23.21,198.17,27.21,0.56
Other italian cheese,1/4 cup or 1 oz,,109.00,0.03,8.70,5.40,0.00,32.00,224.00,0.40,0.00,0.40,7.20,5.00,0.00,15.00,0.00,1.64,10.48,89.50,12.29,0.25
Swiss cheese,1/4 cup or 1 oz,,110.00,0.03,8.70,5.10,0.30,26.00,52.00,0.40,0.00,0.00,7.60,4.00,0.00,22.00,0.00,1.64,10.48,89.50,12.29,0.25
Brick cheese,1/4 cup or 1 oz,,104.00,0.03,8.30,5.30,0.00,26.00,157.00,0.80,0.00,0.10,6.50,6.00,0.00,18.00,0.00,1.64,10.48,89.50,12.29,0.25
Muenster cheese,1/4 cup or 1 oz,,104.00,0.03,8.50,5.40,0.00,27.00,178.00,0.30,0.00,0.30,6.60,5.00,0.00,20.00,0.00,1.64,10.48,89.50,12.29,0.25
Blue cheese,1/4 cup or 1 oz,,100.00,0.03,8.20,5.30,0.00,21.00,325.00,0.70,0.00,0.10,6.10,4.00,0.00,15.00,0.00,1.64,10.48,89.50,12.29,0.25
Miscellaneous cheese,1/4 cup or 1 oz,,116.00,0.03,9.10,5.30,0.00,31.00,200.00,0.10,0.00,0.10,8.40,5.00,0.00,28.00,0.00,1.64,10.48,89.50,12.29,0.31
Cottage cheese (regular),1/2 cup,,111.00,0.11,4.90,1.90,0.00,19.00,411.00,3.80,0.00,3.00,12.60,3.00,0.00,9.00,0.50,6.63,25.53,227.55,31.24,0.20
